"Z"	"X"	"Y"
"1"	4	4	5
"2"	4	3	3
"3"	4	5	5
"4"	4	4	4
"5"	4	5	6
"6"	6	5	4
"7"	3	5	4
"8"	4	2	3
"9"	4	4	4
"10"	5	4	4
"11"	7	5	4
"12"	5	3	3
"13"	6	3	5
"14"	5	4	4
"15"	4	5	5
"16"	4	3	3
"17"	5	6	5
"18"	4	4	3
"19"	5	2	2
"20"	3	6	4
"21"	4	4	4
"22"	3	5	5
"23"	3	3	5
"24"	4	3	2
"25"	4	5	5
"26"	5	3	3
"27"	3	3	4
"28"	5	5	4
"29"	4	5	4
"30"	5	3	1
"31"	5	4	4
"32"	5	4	4
"33"	4	2	3
"34"	4	2	3
"35"	4	3	4
"36"	5	4	4
"37"	5	4	4
"38"	4	4	4
"39"	6	4	3
"40"	6	5	4
"41"	4	3	3
"42"	4	5	4
"43"	3	5	4
"44"	4	4	3
"45"	3	6	5
"46"	2	5	4
"47"	5	5	5
"48"	5	5	4
"49"	4	4	4
"50"	4	3	3
"51"	3	4	2
"52"	3	3	2
"53"	6	3	4
"54"	3	4	4
"55"	3	5	4
"56"	2	5	4
"57"	4	5	4
"58"	4	5	4
"59"	6	4	6
"60"	5	4	5
"61"	3	3	3
"62"	5	6	5
"63"	4	2	5
"64"	2	5	6
"65"	4	5	4
"66"	5	6	5
"67"	4	5	5
"68"	5	5	4
"69"	6	5	4
"70"	3	4	4
"71"	6	5	6
"72"	4	3	4
"73"	6	4	4
"74"	3	4	4
"75"	4	2	2
"76"	4	4	6
"77"	4	3	2
"78"	3	4	4
"79"	3	4	4
"80"	4	5	4
"81"	6	4	3
"82"	4	5	3
"83"	4	4	3
"84"	4	3	2
"85"	4	4	4
"86"	6	4	3
"87"	4	2	4
"88"	4	3	3
"89"	4	3	4
"90"	2	5	4
"91"	4	3	3
"92"	3	5	5
"93"	6	6	5
"94"	6	3	3
"95"	4	4	5
"96"	5	5	4
"97"	3	4	3
"98"	5	4	5
"99"	3	4	4
"100"	4	4	5
"101"	3	5	5
"102"	3	5	4
"103"	3	4	4
"104"	3	6	5
"105"	4	5	6
"106"	2	5	6
"107"	3	3	4
"108"	4	4	4
"109"	4	4	3
"110"	3	3	3
"111"	5	5	3
"112"	4	2	2
"113"	5	3	4
"114"	4	3	4
"115"	4	4	3
"116"	4	4	5
"117"	3	3	5
"118"	4	4	4
"119"	4	5	4
"120"	5	3	5
"121"	2	2	4
"122"	4	2	4
"123"	4	5	2
"124"	6	7	5
"125"	3	3	5
"126"	2	4	3
"127"	2	4	4
"128"	4	5	4
"129"	4	2	4
"130"	4	3	3
"131"	4	4	3
"132"	5	6	5
"133"	5	5	3
"134"	3	4	4
"135"	5	4	5
"136"	4	4	4
"137"	5	4	5
"138"	4	5	4
"139"	6	3	5
"140"	3	5	4
"141"	4	5	4
"142"	4	4	3
"143"	4	3	5
"144"	5	5	3
"145"	6	4	6
"146"	4	4	4
"147"	4	4	4
"148"	4	4	4
"149"	4	5	5
"150"	6	3	4
"151"	5	3	3
"152"	5	3	5
"153"	5	4	4
"154"	5	4	3
"155"	5	2	4
"156"	4	4	4
"157"	4	4	3
"158"	4	3	4
"159"	4	4	4
"160"	3	3	3
"161"	4	5	5
"162"	4	5	3
"163"	1	4	4
"164"	5	3	3
"165"	2	5	4
"166"	3	5	5
"167"	6	4	5
"168"	5	5	6
"169"	3	3	3
"170"	4	4	4
"171"	4	4	4
"172"	5	4	4
"173"	3	4	3
"174"	4	2	4
"175"	2	6	5
"176"	4	5	4
"177"	3	4	2
"178"	3	4	3
"179"	2	4	4
"180"	5	5	4
"181"	3	3	3
"182"	3	4	2
"183"	4	4	3
"184"	4	2	2
"185"	2	2	3
"186"	4	5	4
"187"	5	4	4
"188"	3	3	3
"189"	4	3	4
"190"	5	4	5
"191"	4	3	4
"192"	5	2	4
"193"	5	4	5
"194"	4	4	3
"195"	7	6	3
"196"	4	4	4
"197"	3	4	5
"198"	3	3	4
"199"	3	4	4
"200"	4	3	3
"201"	7	4	5
"202"	6	5	3
"203"	3	4	4
"204"	5	4	6
"205"	5	4	4
"206"	4	5	5
"207"	4	5	5
"208"	4	4	4
"209"	4	6	5
"210"	3	3	3
"211"	3	4	4
"212"	5	6	6
"213"	5	3	3
"214"	2	5	3
"215"	4	3	3
"216"	4	4	3
"217"	4	3	4
"218"	5	3	4
"219"	4	4	5
"220"	5	4	3
"221"	4	5	5
"222"	5	5	4
"223"	3	4	2
"224"	5	4	3
"225"	4	5	4
"226"	4	4	4
"227"	4	4	4
"228"	5	4	6
"229"	3	4	3
"230"	5	4	5
"231"	4	5	3
"232"	4	4	5
"233"	3	4	4
"234"	5	5	5
"235"	3	4	5
"236"	4	3	5
"237"	4	5	4
"238"	3	5	5
"239"	3	5	5
"240"	3	2	4
"241"	7	4	4
"242"	3	4	5
"243"	4	3	2
"244"	5	3	3
"245"	5	5	4
"246"	3	3	3
"247"	3	4	3
"248"	5	4	4
"249"	1	3	4
"250"	2	4	5
"251"	6	4	4
"252"	5	4	4
"253"	6	6	4
"254"	5	2	4
"255"	4	5	5
"256"	5	4	4
"257"	5	5	4
"258"	4	3	4
"259"	3	4	5
"260"	4	4	4
