"X"	"Y"	"Z"
"1"	127	123	5.5
"2"	109	114	5.5
"3"	120	124	3.5
"4"	116	114	4.5
"5"	116	119	6
"6"	122	116	3.5
"7"	111	110	4
"8"	115	117	4
"9"	119	117	5.5
"10"	110	121	3.5
"11"	112	114	2.5
"12"	111	119	3
"13"	111	121	2.5
"14"	114	118	3
"15"	118	113	4
"16"	115	119	4
"17"	117	113	3.5
"18"	109	113	4.5
"19"	117	121	3.5
"20"	119	118	5
"21"	104	107	3
"22"	123	108	3
"23"	117	119	2.5
"24"	109	106	2
"25"	122	119	4
"26"	103	112	4
"27"	116	115	4.5
"28"	113	108	3
"29"	120	109	4
"30"	116	118	3.5
"31"	113	121	3.5
"32"	107	115	4.5
"33"	118	123	2
"34"	119	121	3
"35"	120	120	3
"36"	114	117	4
"37"	121	121	3
"38"	111	112	2.5
"39"	125	120	2.5
"40"	122	111	4.5
"41"	111	118	5
"42"	116	119	3.5
"43"	117	109	4.5
"44"	118	125	4
"45"	118	118	3
"46"	121	124	5.5
"47"	108	106	3
"48"	113	114	4.5
"49"	108	111	4
"50"	113	118	3
"51"	116	115	3.5
"52"	115	114	3
"53"	128	112	3.5
"54"	118	112	5.5
"55"	111	114	3
"56"	105	107	3.5
"57"	114	113	1.5
"58"	112	113	4
"59"	118	110	3.5
"60"	113	117	3.5
"61"	113	112	3.5
"62"	113	122	5
"63"	113	114	5
"64"	114	107	4.5
"65"	109	116	3.5
"66"	115	100	1.5
"67"	107	107	3.5
"68"	120	126	3.5
"69"	114	112	4
"70"	116	108	3.5
"71"	115	116	4.5
"72"	118	107	2
"73"	123	119	3.5
"74"	113	116	4
"75"	114	110	5.5
"76"	111	109	2
"77"	118	116	4
"78"	116	110	3.5
"79"	111	113	4.5
"80"	120	120	3.5
"81"	127	126	4.5
"82"	118	107	4
"83"	105	108	2.5
"84"	117	119	4.5
"85"	111	113	2
"86"	118	112	4.5
"87"	120	119	3.5
"88"	124	121	4
"89"	105	113	3.5
"90"	110	120	3.5
"91"	117	122	2.5
"92"	117	120	2.5
"93"	121	116	3.5
"94"	115	115	2.5
"95"	107	114	4.5
"96"	110	115	3.5
"97"	117	115	2
"98"	109	113	3.5
"99"	117	114	5
"100"	112	110	3
"101"	118	118	3.5
"102"	112	115	5.5
"103"	110	109	4.5
"104"	114	121	4.5
"105"	120	120	3.5
"106"	121	117	4
